Nombre comercial,id,id2,LINK Público PBI,Comentario
Instrumentos de Planificación Territorial (IPT) - Chile,1,0,https://app.powerbi.com/view?r=eyJrIjoiN2RiNDAxYWQtZjIyZi00ZmQ5LWE0M2UtOTBkMGQ3NWEyNGM5IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9&pageName=ReportSectiond3ed353228b160739c25,DATA: DATATERRITORIO|| Instrumentos de Planificación Territorial (IPT) - Chile || País: Chile || Variante: NO || Tipo Variante: Nacional || Variante Shopify: Nacional
Ranking Comunal de Establecimientos Educacionales - Chile,2,0,https://app.powerbi.com/view?r=eyJrIjoiNjNjNWY5ZjgtYmZiMS00MzI2LWIwNTktY2IzZTljYjEwYzNlIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9&pageName=ReportSection,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: NO || Tipo Variante: Nacional || Variante Shopify: Nacional
Ranking Comunal de Establecimientos Educacionales - Chile,3,1,https://app.powerbi.com/view?r=eyJrIjoiN2NjZjVkMTgtOWFmOC00MzJkLWIxZDktMjIxMjI2ZDcxZGVkIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Tarapacá
Ranking Comunal de Establecimientos Educacionales - Chile,3,2,https://app.powerbi.com/view?r=eyJrIjoiYWYxOTA3MzMtNTVjNS00MjM4LWE2MjAtYjBlY2FjOGFmYjI3IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Antofagasta
Ranking Comunal de Establecimientos Educacionales - Chile,3,3,https://app.powerbi.com/view?r=eyJrIjoiZDFjY2I5OTQtODI0ZS00NjQ0LTg4YTYtZjg0MjY2MWJhOGQwIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Atacama
Ranking Comunal de Establecimientos Educacionales - Chile,3,4,https://app.powerbi.com/view?r=eyJrIjoiYWEzOWYzNzItNTZmMC00ZmY4LTg4MzYtNTQ5ZGRjZWI5NDk4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Coquimbo
Ranking Comunal de Establecimientos Educacionales - Chile,3,5,https://app.powerbi.com/view?r=eyJrIjoiOGNlMTg2YjMtM2QxOC00M2Y4LWJlYzYtZjhmMzkxNDgxNjRmIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de Valparaíso
Ranking Comunal de Establecimientos Educacionales - Chile,3,6,https://app.powerbi.com/view?r=eyJrIjoiNWNlYmY5Y2ItNWJlNy00MTBmLWI3ZWMtMWExMGE2ZGM3OWY4IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de O'Higgins
Ranking Comunal de Establecimientos Educacionales - Chile,3,7,https://app.powerbi.com/view?r=eyJrIjoiZjY3NjYwNDEtZDU1Ni00ZjQyLTkyZDItMWFmYjVjY2YzNGM2IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región del Maule
Ranking Comunal de Establecimientos Educacionales - Chile,3,8,https://app.powerbi.com/view?r=eyJrIjoiZGM4NjE5OTctNGNiNy00NmYzLTk2MjEtNmMyNjE0MTAzZGI0IiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región del Biobío
Ranking Comunal de Establecimientos Educacionales - Chile,3,9,https://app.powerbi.com/view?r=eyJrIjoiNWEwN2Q3OGMtMDMyYi00YTk5LWIwOTgtM2Q3NjBkMDI4OWYwIiwidCI6IjhmYmFhNWJmLTJlY2MtNGRjOC1iNTZiLThmOTJlMzA3ZjA3NiIsImMiOjR9,DATA: DATAEDUCACIÓN|| Ranking Comunal de Establecimientos Educacionales - Chile || País: Chile || Variante: SI || Tipo Variante: Región || Variante Shopify: Región de La Araucanía
